Ranking;Company;Market Cap (USD);Stock;Country;Sector;Industry
1;PT Bank Central Asia Tbk;$73.97 B;BBCA;Indonesia;Financials;Bank Regional
2;PT Bank Rakyat Indonesia (Persero) Tbk;$52.77 B;BYRA;Indonesia;Financials;Bank Regional
3;Banque Nationale de Belgique;$40.85 B;BNB;Indonesia;Energy;Thermal Coal
4;PT Bank Mandiri (Persero) Tbk;$33.02 B;PQ9;Indonesia;Financials;Bank Regional
5;Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk;$26.14 B;TLK;Indonesia;Communication Services;Telecom Services
6;Astra International Tbk PT;$18.21 B;ASJA;Indonesia;Consumer Discretionary;Auto Parts
7;PT. Chandra Asri Petrochemical Tbk;$11.91 B;TPIA;Indonesia;Basic Materials;Specialty Chemicals
8;PT Bank Negara Indonesia (Persero) Tbk;$10.95 B;BKE1;Indonesia;Financials;Bank Regional
9;Hanjaya Mandala Sampoerna Tbk PT;$9.83 B;HSZ;Indonesia;Consumer Staples;Tobacco
10;PT Indofood CBP Sukses Makmur Tbk;$9.09 B;ICBP;Indonesia;Consumer Staples;Packaged Foods
11;PT Sumber Alfaria Trijaya Tbk;$7.65 B;AMRT;Indonesia;Consumer Staples;Grocery Stores
12;PT Kalbe Farma Tbk.;$6.15 B;KLBF;Indonesia;Healthcare;Drug Manufacturer General
13;PT Charoen Pokphand Indonesia Tbk;$5.89 B;CPIN;Indonesia;Consumer Staples;Farm Products
14;PT United Tractors Tbk;$5.76 B;UNTR;Indonesia;Basic Materials;Other Industrial Metals & Mining
15;PT Sinar Mas Multiartha Tbk;$5.44 B;SMMA;Indonesia;Financials;Financial Conglomerates
16;PT Merdeka Copper Gold Tbk;$5.42 B;MDKA;Indonesia;Basic Materials;Other Industrial Metals & Mining
17;PT Bank BRIsyariah Tbk;$5.26 B;BRIS;Indonesia;Financials;Bank Regional
18;Adaro Energy Tbk PT;$4.93 B;A64;Indonesia;Energy;Thermal Coal
19;PT Indosat Tbk;$4.77 B;ISAT;Indonesia;Communication Services;Telecom Services
20;PT Barito Pacific Tbk;$4.76 B;BRPT;Indonesia;Basic Materials;Chemicals
21;Indofood Sukses Makmur Tbk PT;$4.25 B;ISM;Indonesia;Consumer Staples;Packaged Foods
22;PT Vale Indonesia Tbk;$4.24 B;INCO;Indonesia;Basic Materials;Other Industrial Metals & Mining
23;PT Bank Mega Tbk;$3.94 B;MEGA;Indonesia;Financials;Bank Regional
24;PT Indoritel Makmur Internasional Tbk.;$3.84 B;DNET;Indonesia;Communication Services;Telecom Services
25;Mayora Indah Tbk PT;$3.72 B;D7V;Indonesia;Consumer Staples;Packaged Foods
26;PT Gudang Garam Tbk;$3.53 B;GGRM;Indonesia;Consumer Staples;Tobacco
27;PT Sarana Menara Nusantara Tbk.;$3.44 B;TOWR;Indonesia;Communication Services;Telecom Services
28;PT Indah Kiat Pulp & Paper Tbk;$3.23 B;INKP;Indonesia;Basic Materials;Paper & Paper Products
29;PT Aneka Tambang Tbk;$3.20 B;ANTM;Indonesia;Basic Materials;Other Industrial Metals & Mining
30;PT. MNC Studios International Tbk.;$3.16 B;MSIN;Indonesia;Communication Services;Entertainment
31;PT Elang Mahkota Teknologi Tbk;$3.14 B;EMTK;Indonesia;Communication Services;Broadcasting
32;Bumi Resources Tbk PT;$3.01 B;PJM;Indonesia;Energy;Thermal Coal
33;PT Tower Bersama Infrastructure Tbk;$3.00 B;TBIG;Indonesia;Communication Services;Telecom Services
34;PT Semen Indonesia (Persero) Tbk;$2.97 B;SMS2;Indonesia;Basic Materials;Building Materials
35;PT Bank Jago Tbk;$2.91 B;ARTO;Indonesia;Financials;Bank Regional
36;PT Bank Harda Internasional Tbk;$2.75 B;BBHI;Indonesia;Financials;Bank Regional
37;PT Bank CIMB Niaga Tbk;$2.62 B;BNGA;Indonesia;Financials;Bank Regional
38;PT Mitra Keluarga Karyasehat Tbk;$2.54 B;MIKA;Indonesia;Healthcare;Medical Care Facilities
39;PT Capital Financial Indonesia Tbk;$2.46 B;CASA;Indonesia;Financials;Financial Conglomerates
40;PT Transcoal Pacific Tbk;$2.40 B;TCPI;Indonesia;Industrials;Marine Shipping
41;Permata Bank;$2.35 B;85C;Indonesia;Financials;Bank Regional
42;PT Indocement Tunggal Prakarsa Tbk;$2.30 B;ITP;Indonesia;Basic Materials;Building Materials
43;PT Multistrada Arah Sarana Tbk;$2.24 B;MASA;Indonesia;Consumer Discretionary;Auto Parts
44;PT Perusahaan Gas Negara Tbk;$2.22 B;PGAS;Indonesia;Utilities;Utilitie Regulated Gas
45;PT MD Pictures Tbk;$2.21 B;FILM;Indonesia;Communication Services;Entertainment
46;PT Dian Swastatika Sentosa Tbk;$2.18 B;DSSA;Indonesia;Energy;Thermal Coal
47;PT Bank Danamon Indonesia Tbk;$2.09 B;BDMN;Indonesia;Financials;Bank Regional
48;PT. Mitra Adiperkasa Tbk;$2.05 B;MAPI;Indonesia;Consumer Discretionary;Department Stores
49;Bukit Asam Tbk PT;$2.04 B;TBA;Indonesia;Energy;Thermal Coal
50;P.T. Bank Pan Indonesia Tbk;$1.97 B;PNBN;Indonesia;Financials;Bank Regional
